"IDCIUDAD","NOMBRE"
41001,"Neiva"
5001,"Medellín"
11001,"Bogotá D.C."
13001,"Cartagena de Indias"
5631,"Sabaneta"
5038,"Angostura"
68001,"Bucaramanga"
5088,"Bello"
47001,"Santa Marta"
76001,"Cali"
5197,"Cocorná"
17877,"Viterbo"
91001,"Leticia"
5615,"Rionegro"
97001,"Mitú"
50001,"Villavicencio"
66170,"Dosquebradas"
17001,"Manizales"
54001,"Cúcuta"
25754,"Soacha"
15238,"Duitama"
18001,"Florencia"
8001,"Barranquilla"
68547,"Piedecuesta"
25279,"Fómeque"
23574,"Puerto Escondido"
8433,"Malambo"
23001,"Montería"
25214,"Cota"
25843,"Villa de de Ubaté"
25402,"La Vega"
20045,"Becerril"
25386,"La Mesa"
15835,"Turmequé"
68081,"Barrancabermeja"
73268,"Espinal"
70001,"Sincelejo"
86865,"Valle del Guamuez"
86320,"Orito"
25269,"Facatativá"
86001,"Mocoa"
86760,"Santiago"
86568,"Puerto Asís"
8638,"Sabanalarga"
17013,"Aguadas"
8758,"Soledad"
63130,"Calarcá"
44430,"Maicao"
17442,"Marmato"
20001,"Valledupar"
50006,"Acacías"
25175,"Chía"
5361,"Ituango"
25035,"Anapoima"
25224,"Cucunubá"
23419,"Los Córdobas"
23466,"Montelíbano"
68276,"Floridablanca"
88564,"Providencia"
88001,"San Andrés"
47605,"Remolino"
54874,"Villa del Rosario"
54810,"Tibú"
25293,"Gachalá"
73001,"Ibagué"
52001,"Pasto"
5250,"El Bagre"
15001,"Tunja"
8296,"Galapa"
8372,"Juan de Acosta"
8849,"Usiacurí"
5172,"Chigorodó"
76892,"Yumbo"
76109,"Buenaventura"
23079,"Buenavista"
13836,"Turbaco"
23417,"Lorica"
86757,"San Miguel"
68406,"Lebrija"
25307,"Girardot"
8634,"Sabanagrande"
44001,"Riohacha"
8685,"Santo Tomás"
15816,"Togüí"
70708,"San Marcos"
5790,"Tarazá"
15861,"Ventaquemada"
8520,"Palmar de Varela"
54405,"Los Patios"
23570,"Pueblo Nuevo"
5837,"Turbo"
54498,"Ocaña"
8832,"Tubará"
52356,"Ipiales"
27001,"Quibdó"
23660,"Sahagún"
25126,"Cajicá"
8436,"Manatí"
13222,"Clemencia"
85001,"Yopal"
8078,"Baranoa"
50683,"San Juan de Arama"
63001,"Armenia"
5789,"Támesis"
13140,"Calamar"
47570,"Puebloviejo"
76364,"Jamundí"
13244,"El Carmen de Bolívar"
76834,"Tuluá"
25878,"Viotá"
70418,"Los Palmitos"
8560,"Ponedera"
73770,"Suárez"
17380,"La Dorada"
54518,"Pamplona"
70713,"San Onofre"
97889,"Yavaraté"
13052,"Arjona"
15176,"Chiquinquirá"
19318,"Guapí"
23182,"Chinú"
15212,"Coper"
52835,"San Andrés de Tumaco"
19001,"Popayán"
23090,"Canalete"
25740,"Sibaté"
41791,"Tarqui"
8558,"Polonuevo"
8421,"Luruaco"
25320,"Guaduas"
76113,"Bugalagrande"
5154,"Caucasia"
52250,"El Charco"
44090,"Dibulla"
63401,"La Tebaida"
70124,"Caimito"
13873,"Villanueva"
76520,"Palmira"
23670,"San Andrés de Sotavento"
23678,"San Carlos"
25862,"Vergara"
25430,"Madrid"
25758,"Sopó"
25899,"Zipaquirá"
15776,"Sutamarchán"
5212,"Copacabana"
20013,"Agustín Codazzi"
41483,"Nátaga"
19573,"Puerto Tejada"
25286,"Funza"
25290,"Fusagasugá"
8573,"Puerto Colombia"
5079,"Barbosa"
66001,"Pereira"
54206,"Convención"
95001,"San José del Guaviare"
5147,"Carepa"
73678,"San Luis"
23189,"Ciénaga de Oro"
8549,"Piojó"
91540,"Puerto Nariño"
47189,"Ciénaga"
5360,"Itagüí"
50313,"Granada"
15322,"Guateque"
47980,"Zona Bananera"
25473,"Mosquera"
8141,"Candelaria"
25245,"El Colegio"
47318,"Guamal"
18094,"Belén de los Andaquíes"
54250,"El Tarra"
63594,"Quimbaya"
5308,"Girardota"
20228,"Curumaní"
66400,"La Virginia"
5642,"Salgar"
68307,"Girón"
25488,"Nilo"
94883,"San Felipe"
25817,"Tocancipá"
13657,"San Juan Nepomuceno"
86569,"Puerto Caicedo"
50568,"Puerto Gaitán"
15455,"Miraflores"
86885,"Villagarzón"
44847,"Uribia"
73168,"Chaparral"
91407,"La Pedrera"
76563,"Pradera"
25799,"Tenjo"
20011,"Aguachica"
52378,"La Cruz"
23555,"Planeta Rica"
20770,"San Martín"
47245,"El Banco"
5113,"Buriticá"
5045,"Apartadó"
41524,"Palermo"
25785,"Tabio"
47551,"Pivijay"
20383,"La Gloria"
47205,"Concordia"
41359,"Isnos"
15759,"Sogamoso"
18753,"San Vicente del Caguán"
18256,"El Paujíl"
25513,"Pacho"
70742,"San Luis de Sincé"
13683,"Santa Rosa"
50573,"Puerto López"
25407,"Lenguazaque"
54553,"Puerto Santander"
5284,"Frontino"
85410,"Tauramena"
19455,"Miranda"
17873,"Villamaría"
47288,"Fundación"
41132,"Campoalegre"
8675,"Santa Lucía"
25322,"Guasca"
23855,"Valencia"
44279,"Fonseca"
20710,"San Alberto"
5380,"La Estrella"
47745,"Sitionuevo"
23162,"Cereté"
5138,"Cañasgordas"
5376,"La Ceja"
15204,"Cómbita"
15808,"Tinjacá"
15469,"Moniquirá"
25377,"La Calera"
25875,"Villeta"
13688,"Santa Rosa del Sur"
5142,"Caracolí"
54720,"Sardinata"
73449,"Melgar"
25793,"Tausa"
52079,"Barbacoas"
73217,"Coyaima"
20750,"San Diego"
27245,"El Carmen de Atrato"
