COUNTRY,ISO3,CODE
AFGANISTAN,AFG,4
ALAND ISLANDS,ALI,248
ALBANIA,ALB,8
ALEMANIA,DEU,276
ANDORRA,AND,20
ANGOLA,AGO,24
ANGUILA,AIA,660
ANTARTIDA,ATA,10
ANTIGUA Y BARBUDA,ATG,28
ANTILLAS NEERLANDESAS,ANT,530
ARABIA SAUDITA,SAU,682
ARGELIA,DZA,12
ARGENTINA,ARG,32
ARMENIA,ARM,51
ARUBA,ABW,533
AUSTRALIA,AUS,36
AUSTRIA,AUT,40
AZERBAIYAN,AZE,31
BAHAMAS,BHS,44
BAHREIN,BHR,48
BANGLADESH,BGD,50
BARBADOS,BRB,52
BELARUS,BLR,112
BELGICA,BEL,56
BELGICA-LUXEMBURGO,BLX,58
BELICE,BLZ,84
BENIN,BEN,204
BERMUDAS,BMU,60
BHUTAN,BTN,64
BOLIVIA,BOL,68
BONAIRE,BES,535
BOSNIA Y HERZEGOVINA,BIH,70
BOTSWANA,BWA,72
BRASIL,BRA,76
BRUNEI DARUSSALAM,BRN,96
BULGARIA,BGR,100
BURKINA FASO,BFA,854
BURUNDI,BDI,108
CABO VERDE,CPV,132
CAMBOYA,KHM,116
CAMERUN,CMR,120
CANADA,CAN,124
CATEGORIAS ESPECIALES,SPE,839
CHAD,TCD,148
CHECOSLOVAQUIA,CSK,200
CHILE,CHL,152
CHINA,CHN,156
CHIPRE,CYP,196
COLOMBIA,COL,170
COMANDO I DEL PACIFICO DE ESTADOS UNIDOS,USP,849
COMORAS,COM,174
"CONGO, REP. DEL",COG,178
"CONGO, REP. DEM. DEL",ZAR,180
"COREA, REP. DE",KOR,410
"COREA, REP. DEM. DE",PRK,408
COSTA RICA,CRI,188
COTE D'IVOIRE,CIV,384
CROACIA,HRV,191
CUBA,CUB,192
CURACAO,CUW,531
DINAMARCA,DNK,208
DJIBOUTI,DJI,262
DOMINICA,DMA,212
ECUADOR,ECU,218
"EGIPTO, REP. ARABE DE",EGY,818
EL SALVADOR,SLV,222
EMIRATOS ARABES UNIDOS,ARE,784
ERITREA,ERI,232
ESLOVENIA,SVN,705
ESPAÑA,ESP,724
ESTADOS UNIDOS,USA,840
ESTONIA,EST,233
ETIOPIA (EXCLUIDA ERITREA),ETH,231
ETIOPIA (INCLUIDA ERITREA),ETF,230
EUROPEAN UNION,EUN,918
EX SUDAN,SDN,736
FEDERACION DE RUSIA,RUS,643
FIJI,FJI,242
FILIPINAS,PHL,608
FINLANDIA,FIN,246
FM PANAMA CZ,PCZ,592
FM RHOD NYAS,ZW1,717
FM TANGANYIK,TAN,835
FM VIETNAM DR,VDR,866
FM VIETNAM RP,SVR,868
FM ZANZ-PEMB,ZPM,836
FRANCIA,FRA,250
GABON,GAB,266
GAMBIA,GMB,270
